0.642, 0.477, 0.121, 3.141, 0.000, 0.000
0.664, 0.451, 0.063, 3.141, 0.000, 0.000
0.379, 0.695, 0.051, 3.141, 0.000, 0.000
0.597, 0.341, 0.190, 3.141, 0.000, 0.000
0.471, 0.540, 0.157, 3.141, 0.000, 0.000
0.783, 0.265, 0.186, 3.141, 0.000, 0.000
0.779, 0.329, 0.133, 3.141, 0.000, 0.000
0.281, 0.583, 0.153, 3.141, 0.000, 0.000
0.562, 0.500, 0.026, 3.141, 0.000, 0.000
0.714, 0.331, 0.187, 3.141, 0.000, 0.000
0.602, 0.397, -0.026, 3.141, 0.000, 0.000
0.245, 0.586, -0.058, 3.141, 0.000, 0.000
0.573, 0.529, -0.117, 3.141, 0.000, 0.000
0.437, 0.685, 0.146, 3.141, 0.000, 0.000
0.576, 0.605, 0.162, 3.141, 0.000, 0.000
0.792, 0.174, 0.123, 3.141, 0.000, 0.000
0.359, 0.574, -0.082, 3.141, 0.000, 0.000
0.658, 0.336, 0.041, 3.141, 0.000, 0.000
0.639, 0.440, 0.058, 3.141, 0.000, 0.000
0.423, 0.432, 0.008, 3.141, 0.000, 0.000
0.529, 0.617, -0.098, 3.141, 0.000, 0.000
0.341, 0.564, -0.093, 3.141, 0.000, 0.000
0.718, 0.389, -0.013, 3.141, 0.000, 0.000
0.656, 0.470, 0.110, 3.141, 0.000, 0.000
0.626, 0.544, 0.151, 3.141, 0.000, 0.000
0.446, 0.444, -0.031, 3.141, 0.000, 0.000
0.276, 0.688, 0.046, 3.141, 0.000, 0.000
0.486, 0.364, -0.024, 3.141, 0.000, 0.000
0.304, 0.600, 0.017, 3.141, 0.000, 0.000
0.689, 0.249, 0.046, 3.141, 0.000, 0.000
0.723, 0.524, -0.000, 3.141, 0.000, 0.000
0.592, 0.474, 0.085, 3.141, 0.000, 0.000
0.688, 0.267, -0.063, 3.141, 0.000, 0.000
0.735, 0.213, -0.077, 3.141, 0.000, 0.000
0.355, 0.508, 0.006, 3.141, 0.000, 0.000
0.375, 0.724, -0.075, 3.141, 0.000, 0.000
0.581, 0.380, 0.108, 3.141, 0.000, 0.000
0.194, 0.652, -0.065, 3.141, 0.000, 0.000
0.254, 0.689, -0.044, 3.141, 0.000, 0.000
0.673, 0.637, -0.107, 3.141, 0.000, 0.000
0.741, 0.184, 0.128, 3.141, 0.000, 0.000
0.511, 0.678, -0.097, 3.141, 0.000, 0.000
0.163, 0.662, 0.095, 3.141, 0.000, 0.000
0.451, 0.550, 0.049, 3.141, 0.000, 0.000
0.566, 0.726, 0.025, 3.141, 0.000, 0.000
0.479, 0.485, 0.076, 3.141, 0.000, 0.000
0.316, 0.609, -0.108, 3.141, 0.000, 0.000
0.544, 0.643, 0.062, 3.141, 0.000, 0.000
0.800, 0.106, 0.012, 3.141, 0.000, 0.000
0.583, 0.295, -0.067, 3.141, 0.000, 0.000
0.666, 0.593, 0.149, 3.141, 0.000, 0.000
0.725, 0.496, -0.029, 3.141, 0.000, 0.000
0.711, 0.386, 0.166, 3.141, 0.000, 0.000
0.179, 0.633, 0.106, 3.141, 0.000, 0.000
0.233, 0.630, 0.096, 3.141, 0.000, 0.000
0.408, 0.458, -0.039, 3.141, 0.000, 0.000
0.331, 0.578, 0.004, 3.141, 0.000, 0.000
0.284, 0.554, 0.136, 3.141, 0.000, 0.000
0.422, 0.596, -0.022, 3.141, 0.000, 0.000
0.477, 0.424, 0.014, 3.141, 0.000, 0.000
0.537, 0.674, -0.019, 3.141, 0.000, 0.000
0.554, 0.304, 0.080, 3.141, 0.000, 0.000
0.675, 0.359, 0.099, 3.141, 0.000, 0.000
